;;;;
;Description;Value;Unit;Notes
;Sum of loads and sum of support forces;;;
;Sum of loads in X;0.00;kN;
;Sum of support forces in X;0.00;kN;
;Sum of loads in Y;0.00;kN;
;Sum of support forces in Y;0.00;kN;
;Sum of loads in Z;969.46;kN;
;Sum of support forces in Z;969.45;kN;Deviation: 0.00 %
;;;;
;Resultant of reactions;;;
;Resultant of reactions about X;130.34;kNm;At center of gravity of model (9.972, 12.326, -3.889 m)
;Resultant of reactions about Y;-19.52;kNm;At center of gravity of model
;Resultant of reactions about Z;0.05;kNm;At center of gravity of model
;;;;
;Maximum deformations;;;
;Maximum displacement in X-direction;41.0;mm;Member No. 152, x: 2.500 m
;Maximum displacement in Y-direction;0.0;mm;Member No. 168, x: 1.650 m
;Maximum displacement in Z-direction;63.2;mm;Member No. 159, x: 2.500 m
;Maximum vectorial displacement;75.2;mm;Member No. 153, x: 2.500 m
;Maximum rotation about X-axis;20.4;mrad;Member No. 185, x: 5.000 m
;Maximum rotation about Y-axis;-6.6;mrad;Member No. 137, x: 0.330 m
;Maximum rotation about Z-axis;-25.9;mrad;Member No. 180, x: 0.000 m
;;;;
;Calculation statistic;;;
;Number of iterations;4;;
;Maximum value of element of stiffness matrix on diagonal;2.65e+13;--;
;Minimum value of element of stiffness matrix on diagonal;19126.20;--;
;Stiffness matrix determinant;6.63e+89682;--;
;Infinity Norm;6.04e+13;--;
;;;;
;Static Analysis Settings No. 2 - Second-order (P-Δ) | Newton-Raphson | 100 | 3;;;
;Analysis type;Second-order (P-Δ);;
;Iterative method;Newton-Raphson;;
;Maximum number of iterations;100;;
;Number of load increments;3;;
;Modify loading by multiplier factor;;;
;Consider favorable effects due to tension forces of members;;;
;Save results of all load increments;;;
;Asymmetric direct solver;;;
;Method for Equation System;Direct;;
;Plate bending theory;Mindlin;;
